id,area_sqft,bedrooms,bathrooms,parking,floor,property_type,location,city_tier,age_years,price_inr
1,2158,3,2,2,18,Independent House,Hyderabad,tier1,5,15639000
2,1392,4,1,1,1,Penthouse,Moradabad,tier3,2,5233000
3,1038,3,2,2,0,Penthouse,Hyderabad,tier1,3,9864000
4,200,3,2,2,4,Villa,Ahmedabad,tier1,26,1503000
5,947,3,2,2,25,Independent House,Tiruchirappalli,tier3,2,3247000
6,578,3,1,1,0,Independent House,Solapur,tier3,11,2661000
7,2038,1,1,1,10,Apartment,Thiruvananthapuram,tier3,9,4474000
8,2265,4,1,1,10,Independent House,Visakhapatnam,tier2,5,9243000
9,1328,3,2,1,0,Penthouse,Bhopal,tier2,12,5119000
10,1159,2,1,2,30,Independent House,Mumbai,tier1,9,8730000
11,1952,4,2,0,24,Studio,Rajkot,tier3,30,3610000
12,796,4,1,2,12,Studio,Ahmedabad,tier1,22,4694000
13,566,2,2,1,0,Penthouse,Solapur,tier3,10,2243000
14,1150,2,2,1,3,Studio,Aligarh,tier3,9,2706000
15,1159,3,1,1,10,Studio,Guwahati,tier3,14,3066000
16,1678,2,2,2,5,Independent House,Delhi,tier1,16,11152000
17,409,4,2,1,7,Apartment,Thiruvananthapuram,tier3,5,2499000
18,1588,4,2,0,0,Penthouse,Lucknow,tier2,9,8772000
19,1805,3,1,1,6,Penthouse,Nagpur,tier2,6,7465000
20,1789,2,2,1,5,Apartment,Hyderabad,tier1,23,9278000
21,2246,2,1,1,5,Independent House,Visakhapatnam,tier2,4,12289000
22,1398,2,2,0,12,Studio,Warangal,tier3,6,4853000
23,256,4,1,2,13,Apartment,Solapur,tier3,13,1959000
24,701,3,1,1,4,Studio,Ahmedabad,tier1,31,3414000
25,1999,3,1,2,30,Villa,Tiruchirappalli,tier3,18,4938000
26,1158,2,2,1,21,Studio,Nagpur,tier2,34,2751000
27,1239,3,1,1,4,Independent House,Hyderabad,tier1,14,7157000
28,1613,3,3,1,14,Studio,Jaipur,tier2,14,6671000
29,840,2,2,0,6,Studio,Bhubaneswar,tier3,13,2494000
30,896,3,1,1,0,Independent House,Bareilly,tier3,8,3683000
31,1550,3,2,1,1,Independent House,Ghaziabad,tier3,15,3641000
32,2471,2,2,1,13,Villa,Madurai,tier3,5,6158000
33,549,3,1,1,0,Independent House,Chandigarh,tier3,20,1818000
34,1031,2,1,1,6,Studio,Ludhiana,tier3,8,3108000
35,1333,3,1,0,2,Penthouse,Jalandhar,tier3,0,5104000
36,621,2,2,0,1,Independent House,Bangalore,tier1,24,3378000
37,1799,2,2,1,8,Studio,Raipur,tier3,13,4217000
38,1031,3,2,2,2,Apartment,Srinagar,tier3,9,3639000
39,1227,2,2,1,23,Villa,Hubli-Dharwad,tier3,17,2552000
40,939,2,2,1,14,Penthouse,Faridabad,tier3,21,2446000
41,1175,2,2,2,19,Studio,Thiruvananthapuram,tier3,19,3176000
42,1287,3,1,1,28,Independent House,Nagpur,tier2,7,6984000
43,1297,2,2,1,21,Apartment,Madurai,tier3,22,2995000
44,717,3,2,2,3,Apartment,Kanpur,tier2,22,3535000
45,209,3,2,2,3,Villa,Ghaziabad,tier3,10,1889000
46,2245,2,1,1,28,Penthouse,Ghaziabad,tier3,15,4899000
47,200,4,3,2,14,Independent House,Tiruchirappalli,tier3,15,2412000
48,1238,3,2,2,6,Apartment,Raipur,tier3,1,4253000
